Filename,File Path,File Size (MB),File Extension,Date Created
.gitignore,./.gitignore,0.00,,2024-02-27 23:12:36
.replit,./.replit,0.00,,2024-08-16 17:01:59
uv.lock,./uv.lock,0.00,.lock,2024-10-31 21:57:53
pyproject.toml,./pyproject.toml,0.00,.toml,2024-10-31 21:57:53
generated-icon.png,./generated-icon.png,0.01,.png,2025-01-08 15:05:33
file_details_20250108_150208.csv,./file_details_20250108_150208.csv,0.07,.csv,2025-01-08 15:02:08
file_details_20250108_150421.csv,./file_details_20250108_150421.csv,0.07,.csv,2025-01-08 15:04:21
main.py,./main.py,0.00,.py,2025-01-08 15:05:56
file_details_20250108_150603.csv,./file_details_20250108_150603.csv,0.00,.csv,2025-01-08 15:06:03
modules.stamp,./.cache/replit/modules.stamp,0.00,.stamp,2025-01-08 14:55:18
__replit_disk_meta.json,./.cache/replit/__replit_disk_meta.json,0.00,.json,2023-11-08 15:58:41
env.json,./.cache/replit/nix/env.json,0.02,.json,2024-03-19 18:57:51
replit.res,./.cache/replit/modules/replit.res,0.00,.res,2025-01-08 14:55:18
python-3.11.res,./.cache/replit/modules/python-3.11.res,0.00,.res,2025-01-08 14:55:18
python-3.11,./.cache/replit/modules/python-3.11,0.00,.11,1970-01-01 00:00:01
replit,./.cache/replit/modules/replit,0.00,,1970-01-01 00:00:01
latest,./.cache/replit/env/latest,0.01,,2025-01-08 15:03:42
latest.json,./.cache/replit/env/latest.json,0.01,.json,2025-01-08 15:03:42
binary-cache-v6.sqlite,./.cache/nix/binary-cache-v6.sqlite,0.05,.sqlite,2024-03-19 18:57:46
binary-cache-v6.sqlite-journal,./.cache/nix/binary-cache-v6.sqlite-journal,0.00,.sqlite-journal,2024-03-19 18:57:46
1e6f2fa1119d47b853219feb91c3867d411e0c8c02476d1e769171e8.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/e/6/f/2/1e6f2fa1119d47b853219feb91c3867d411e0c8c02476d1e769171e8.lock,0.00,.lock,2024-04-10 13:43:28
1e6f2fa1119d47b853219feb91c3867d411e0c8c02476d1e769171e8,./.cache/pypoetry/cache/repositories/PyPI/_http/1/e/6/f/2/1e6f2fa1119d47b853219feb91c3867d411e0c8c02476d1e769171e8,0.01,,2024-04-10 13:43:28
1a8ff2f282c087cdf9cf873cda00681c0b40ab3160af3b1797069bd7.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/a/8/f/f/1a8ff2f282c087cdf9cf873cda00681c0b40ab3160af3b1797069bd7.lock,0.00,.lock,2024-04-10 13:43:36
1a8ff2f282c087cdf9cf873cda00681c0b40ab3160af3b1797069bd7,./.cache/pypoetry/cache/repositories/PyPI/_http/1/a/8/f/f/1a8ff2f282c087cdf9cf873cda00681c0b40ab3160af3b1797069bd7,0.00,,2024-04-10 13:43:36
1a84c7ae0bb2d2769201a9b0fd31566bb1a2eae3ccc6fe61ceb246aa.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/a/8/4/c/1a84c7ae0bb2d2769201a9b0fd31566bb1a2eae3ccc6fe61ceb246aa.lock,0.00,.lock,2024-04-10 13:43:31
1a84c7ae0bb2d2769201a9b0fd31566bb1a2eae3ccc6fe61ceb246aa,./.cache/pypoetry/cache/repositories/PyPI/_http/1/a/8/4/c/1a84c7ae0bb2d2769201a9b0fd31566bb1a2eae3ccc6fe61ceb246aa,0.01,,2024-04-10 13:43:31
1a2d39595dc616d36195328fa59aa988a3f9bce0c80d10d30278d542.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/a/2/d/3/1a2d39595dc616d36195328fa59aa988a3f9bce0c80d10d30278d542.lock,0.00,.lock,2024-04-10 13:43:29
1a2d39595dc616d36195328fa59aa988a3f9bce0c80d10d30278d542,./.cache/pypoetry/cache/repositories/PyPI/_http/1/a/2/d/3/1a2d39595dc616d36195328fa59aa988a3f9bce0c80d10d30278d542,0.01,,2024-04-10 13:43:29
1693297fb9daf7bfe370bf51d371acfeb8ff40759bf8650dfd404ba4.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/6/9/3/2/1693297fb9daf7bfe370bf51d371acfeb8ff40759bf8650dfd404ba4.lock,0.00,.lock,2024-04-10 13:43:26
1693297fb9daf7bfe370bf51d371acfeb8ff40759bf8650dfd404ba4,./.cache/pypoetry/cache/repositories/PyPI/_http/1/6/9/3/2/1693297fb9daf7bfe370bf51d371acfeb8ff40759bf8650dfd404ba4,0.24,,2024-04-10 13:43:26
1367c1047a68f6bcf5a42d9c108d23bc1527ebca4c215f01d6c094a3.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/3/6/7/c/1367c1047a68f6bcf5a42d9c108d23bc1527ebca4c215f01d6c094a3.lock,0.00,.lock,2024-04-10 13:43:26
1367c1047a68f6bcf5a42d9c108d23bc1527ebca4c215f01d6c094a3,./.cache/pypoetry/cache/repositories/PyPI/_http/1/3/6/7/c/1367c1047a68f6bcf5a42d9c108d23bc1527ebca4c215f01d6c094a3,0.01,,2024-04-10 13:43:26
1d828a3e277c37626c3a342a9e4e7dcd90bd247c5e0570fa37909ff5.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/1/d/8/2/8/1d828a3e277c37626c3a342a9e4e7dcd90bd247c5e0570fa37909ff5.lock,0.00,.lock,2024-04-10 13:43:30
1d828a3e277c37626c3a342a9e4e7dcd90bd247c5e0570fa37909ff5,./.cache/pypoetry/cache/repositories/PyPI/_http/1/d/8/2/8/1d828a3e277c37626c3a342a9e4e7dcd90bd247c5e0570fa37909ff5,0.01,,2024-04-10 13:43:30
5f18c440a962338cd7865a20cbf7a8caf757a7349ab50d374d168b4d.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/5/f/1/8/c/5f18c440a962338cd7865a20cbf7a8caf757a7349ab50d374d168b4d.lock,0.00,.lock,2024-02-27 15:44:24
5f18c440a962338cd7865a20cbf7a8caf757a7349ab50d374d168b4d,./.cache/pypoetry/cache/repositories/PyPI/_http/5/f/1/8/c/5f18c440a962338cd7865a20cbf7a8caf757a7349ab50d374d168b4d,0.01,,2024-02-27 15:44:24
56990a4cac41e1869b6cb22f73df04219326c4eff431c47e6ebee12f.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/5/6/9/9/0/56990a4cac41e1869b6cb22f73df04219326c4eff431c47e6ebee12f.lock,0.00,.lock,2024-04-10 13:43:35
56990a4cac41e1869b6cb22f73df04219326c4eff431c47e6ebee12f,./.cache/pypoetry/cache/repositories/PyPI/_http/5/6/9/9/0/56990a4cac41e1869b6cb22f73df04219326c4eff431c47e6ebee12f,0.01,,2024-04-10 13:43:35
5c40d879a553c082925ea33febe3c13e7621ebe162c95d31a21b2ead.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/5/c/4/0/d/5c40d879a553c082925ea33febe3c13e7621ebe162c95d31a21b2ead.lock,0.00,.lock,2024-04-10 13:43:26
5c40d879a553c082925ea33febe3c13e7621ebe162c95d31a21b2ead,./.cache/pypoetry/cache/repositories/PyPI/_http/5/c/4/0/d/5c40d879a553c082925ea33febe3c13e7621ebe162c95d31a21b2ead,0.01,,2024-04-10 13:43:26
5bd894eeb3dfe1c8aaee1daecdfb74bbb314293813a730238621f077.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/5/b/d/8/9/5bd894eeb3dfe1c8aaee1daecdfb74bbb314293813a730238621f077.lock,0.00,.lock,2024-04-10 13:43:28
5bd894eeb3dfe1c8aaee1daecdfb74bbb314293813a730238621f077,./.cache/pypoetry/cache/repositories/PyPI/_http/5/b/d/8/9/5bd894eeb3dfe1c8aaee1daecdfb74bbb314293813a730238621f077,0.09,,2024-04-10 13:43:28
5b576ddc69cb2cda42f61333b85f066e4990a5eab5c96e0670cbb445.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/5/b/5/7/6/5b576ddc69cb2cda42f61333b85f066e4990a5eab5c96e0670cbb445.lock,0.00,.lock,2024-04-10 13:43:30
5b576ddc69cb2cda42f61333b85f066e4990a5eab5c96e0670cbb445,./.cache/pypoetry/cache/repositories/PyPI/_http/5/b/5/7/6/5b576ddc69cb2cda42f61333b85f066e4990a5eab5c96e0670cbb445,0.00,,2024-04-10 13:43:30
226e20ef37baae18486c4b142f19362b0176ef112b8135637169c623.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/2/2/6/e/2/226e20ef37baae18486c4b142f19362b0176ef112b8135637169c623.lock,0.00,.lock,2024-04-10 13:43:32
226e20ef37baae18486c4b142f19362b0176ef112b8135637169c623,./.cache/pypoetry/cache/repositories/PyPI/_http/2/2/6/e/2/226e20ef37baae18486c4b142f19362b0176ef112b8135637169c623,0.00,,2024-04-10 13:43:32
2aaebf6b506fe2a373b26f648dfc83bfc153f7671297de820141e25a.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/2/a/a/e/b/2aaebf6b506fe2a373b26f648dfc83bfc153f7671297de820141e25a.lock,0.00,.lock,2024-04-10 13:43:28
2aaebf6b506fe2a373b26f648dfc83bfc153f7671297de820141e25a,./.cache/pypoetry/cache/repositories/PyPI/_http/2/a/a/e/b/2aaebf6b506fe2a373b26f648dfc83bfc153f7671297de820141e25a,0.14,,2024-04-10 13:43:28
2e184af86130f8c08775638bebc5ccc3418fae465912473baa679650.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/2/e/1/8/4/2e184af86130f8c08775638bebc5ccc3418fae465912473baa679650.lock,0.00,.lock,2024-04-10 13:43:29
2e184af86130f8c08775638bebc5ccc3418fae465912473baa679650,./.cache/pypoetry/cache/repositories/PyPI/_http/2/e/1/8/4/2e184af86130f8c08775638bebc5ccc3418fae465912473baa679650,0.01,,2024-04-10 13:43:29
2b0b3274f952f1ccb69a056b0f414c74a63cdf6658180795ba506c03.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/2/b/0/b/3/2b0b3274f952f1ccb69a056b0f414c74a63cdf6658180795ba506c03.lock,0.00,.lock,2024-04-10 13:43:30
2b0b3274f952f1ccb69a056b0f414c74a63cdf6658180795ba506c03,./.cache/pypoetry/cache/repositories/PyPI/_http/2/b/0/b/3/2b0b3274f952f1ccb69a056b0f414c74a63cdf6658180795ba506c03,0.01,,2024-04-10 13:43:30
2332da5ae322eda2d300109efbb9a3f7c5a5f271def9b21f15ef9bc2.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/2/3/3/2/d/2332da5ae322eda2d300109efbb9a3f7c5a5f271def9b21f15ef9bc2.lock,0.00,.lock,2024-04-10 13:43:33
2332da5ae322eda2d300109efbb9a3f7c5a5f271def9b21f15ef9bc2,./.cache/pypoetry/cache/repositories/PyPI/_http/2/3/3/2/d/2332da5ae322eda2d300109efbb9a3f7c5a5f271def9b21f15ef9bc2,0.01,,2024-04-10 13:43:33
8ac4d14dc45e27d21da49fb515570b6f875b78707de9b08ce1088d1b.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/8/a/c/4/d/8ac4d14dc45e27d21da49fb515570b6f875b78707de9b08ce1088d1b.lock,0.00,.lock,2024-04-10 13:43:32
8ac4d14dc45e27d21da49fb515570b6f875b78707de9b08ce1088d1b,./.cache/pypoetry/cache/repositories/PyPI/_http/8/a/c/4/d/8ac4d14dc45e27d21da49fb515570b6f875b78707de9b08ce1088d1b,0.02,,2024-04-10 13:43:32
85385fd8a53d3d88ac67db4bf015be7ba931f024227668d42969ea92.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/8/5/3/8/5/85385fd8a53d3d88ac67db4bf015be7ba931f024227668d42969ea92.lock,0.00,.lock,2024-04-10 13:43:32
85385fd8a53d3d88ac67db4bf015be7ba931f024227668d42969ea92,./.cache/pypoetry/cache/repositories/PyPI/_http/8/5/3/8/5/85385fd8a53d3d88ac67db4bf015be7ba931f024227668d42969ea92,0.01,,2024-04-10 13:43:32
8d0e104919449355aedb55b5b546bb9fd53f0e1a8ca1b082109464e9.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/8/d/0/e/1/8d0e104919449355aedb55b5b546bb9fd53f0e1a8ca1b082109464e9.lock,0.00,.lock,2024-04-10 13:43:26
8d0e104919449355aedb55b5b546bb9fd53f0e1a8ca1b082109464e9,./.cache/pypoetry/cache/repositories/PyPI/_http/8/d/0/e/1/8d0e104919449355aedb55b5b546bb9fd53f0e1a8ca1b082109464e9,0.02,,2024-04-10 13:43:26
8b24226e2da88df4abeee0d8ca6bce79b19ca2bcd5f94b543939c66c.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/8/b/2/4/2/8b24226e2da88df4abeee0d8ca6bce79b19ca2bcd5f94b543939c66c.lock,0.00,.lock,2024-04-10 13:43:28
8b24226e2da88df4abeee0d8ca6bce79b19ca2bcd5f94b543939c66c,./.cache/pypoetry/cache/repositories/PyPI/_http/8/b/2/4/2/8b24226e2da88df4abeee0d8ca6bce79b19ca2bcd5f94b543939c66c,0.01,,2024-04-10 13:43:28
8c69355026e9628255b060ae6953b74c192c8dd878dbae81cd0b0ffa.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/8/c/6/9/3/8c69355026e9628255b060ae6953b74c192c8dd878dbae81cd0b0ffa.lock,0.00,.lock,2024-04-10 13:43:33
8c69355026e9628255b060ae6953b74c192c8dd878dbae81cd0b0ffa,./.cache/pypoetry/cache/repositories/PyPI/_http/8/c/6/9/3/8c69355026e9628255b060ae6953b74c192c8dd878dbae81cd0b0ffa,0.00,,2024-04-10 13:43:33
45976c194ebb9180bf7410d422bcad653ce13bcb64dda0d07d72b09d.lock,./.cache/pypoetry/cache/repositories/PyPI/_http/4/5/9/7/6/45976c194ebb9180bf7410d422bcad653ce13bcb64dda0d07d72b09d.lock,0.00,.lock,2024-04-10 13:43:32
